City,Lat,Lon,Pop_15to44,Population
Houston,29.87,-95.57,15436.0,35372.0
Houston,29.74,-95.56,21710.0,42098.0
Houston,29.81,-95.58,11407.0,25838.0
Houston,29.9,-95.17,18799.0,42665.0
Houston,29.64,-95.43,16140.0,36270.0
Houston,29.732,-95.435,490.0,1029.0
Houston,29.61,-95.38,14072.0,29410.0
Houston,29.62,-95.33,7341.0,17143.0
Houston,29.84,-95.15,16184.0,33749.0
Houston,29.9,-95.27,2314.0,5031.0
Houston,29.66,-95.37,6373.0,16661.0
Houston,29.58,-95.46,13922.0,31868.0
Houston,29.68,-95.41,15729.0,22517.0
Houston,29.8,-95.5,19264.0,45003.0
Houston,29.75,-95.47,10021.0,21732.0
Houston,29.75,-95.49,19975.0,40130.0
Houston,29.56,-95.1,8449.0,16669.0
Houston,29.61,-95.12,5205.0,17374.0
Houston,29.93,-95.4,20826.0,44549.0
Houston,29.65,-95.28,12340.0,26276.0
Houston,29.57,-95.14,10205.0,26583.0
Houston,29.74,-95.52,20127.0,38931.0
Houston,29.93,-95.54,21445.0,49578.0
Houston,29.92,-95.61,17200.0,38820.0
Houston,29.96,-95.5,14748.0,33796.0
Houston,29.95,-95.45,16090.0,33489.0
Houston,30.01,-95.49,4753.0,10897.0
Houston,29.99,-95.52,6284.0,18238.0
Houston,29.98,-95.58,22127.0,51080.0
Houston,29.65,-95.52,10770.0,27981.0
Houston,29.69,-95.59,28342.0,62162.0
Houston,30.0,-95.4,21627.0,42780.0
Houston,29.69,-95.53,18005.0,39915.0
Houston,29.62,-95.26,20240.0,43586.0
Houston,29.85,-95.38,16366.0,35144.0
Houston,29.75,-95.63,27559.0,57757.0
Houston,29.85,-95.26,6505.0,15820.0
Houston,29.79,-95.6,12116.0,33577.0
Houston,29.81,-95.52,20971.0,45665.0
Houston,29.71,-95.48,25171.0,49059.0
Houston,29.74,-95.64,26562.0,56641.0
Houston,29.69,-95.65,35382.0,79408.0
Houston,29.83,-95.66,47454.0,104582.0
Houston,29.62,-95.49,7986.0,17981.0
Houston,29.92,-95.49,13035.0,29506.0
Houston,29.69,-95.3,15996.0,37200.0
Houston,29.88,-95.45,23182.0,56716.0
Houston,29.59,-95.22,23416.0,52699.0
Houston,30.0,-95.45,18167.0,38361.0
Houston,29.86,-95.44,10338.0,25277.0
Houston,29.83,-95.47,17797.0,38476.0
Houston,29.86,-95.34,19826.0,44428.0
Houston,29.76,-95.69,2928.0,9439.0
Houston,29.91,-95.64,30085.0,72081.0
Houston,29.67,-95.48,14371.0,35465.0
Houston,29.73,-95.42,7781.0,13444.0
Houston,29.67,-95.59,23603.0,51905.0
Conroe,30.3,-95.43,14740.0,31801.0
Conroe,30.23,-95.36,7233.0,19311.0
Conroe,30.4,-95.4,8522.0,19695.0
Conroe,30.33,-95.52,11685.0,28692.0
Conroe,30.27,-95.31,4507.0,11453.0
Montgomery,30.3,-95.7,7846.0,21272.0
Willis,30.44,-95.54,4702.0,15437.0
Huffman,30.06,-95.1,5095.0,12397.0
Humble,30.01,-95.29,17842.0,40335.0
Kingwood,30.05,-95.22,16345.0,41403.0
Kingwood,30.06,-95.16,10110.0,29090.0
Humble,29.98,-95.18,25979.0,63233.0
Magnolia,30.2,-95.7,12712.0,35904.0
Magnolia,30.16,-95.75,10415.0,27271.0
Montgomery,30.4,-95.7,7697.0,25888.0
New Caney,30.2,-95.2,10072.0,24334.0
Pinehurst,30.16,-95.66,2033.0,5546.0
Porter,30.11,-95.27,12225.0,31406.0
Splendora,30.25,-95.17,4862.0,12351.0
Spring,30.07,-95.37,25495.0,58255.0
Tomball,30.09,-95.59,22922.0,50525.0
Tomball,30.06,-95.68,13812.0,36758.0
Willis,30.5,-95.4,6418.0,16150.0
Spring,30.04,-95.53,30133.0,78226.0
Spring,30.14,-95.47,12211.0,26691.0
Spring,30.18,-95.5,11905.0,36919.0
Spring,30.2,-95.54,14273.0,40546.0
Conroe,30.23,-95.5,6610.0,16472.0
Conroe,30.18,-95.4,10598.0,23578.0
Spring,30.09,-95.36,24008.0,53042.0
Spring,30.05,-95.47,18975.0,45841.0
Spring,30.13,-95.49,11826.0,31883.0
Humble,29.94,-95.25,26067.0,54352.0
Bellaire,29.71,-95.47,5905.0,19062.0
Richmond,29.6,-95.8,15870.0,41008.0
Richmond,29.66,-95.73,22358.0,48157.0
Beasley,29.48,-95.98,851.0,2760.0
Cypress,29.98,-95.66,34326.0,86399.0
Cypress,29.96,-95.74,32427.0,75008.0
Fulshear,29.7,-95.9,3374.0,9919.0
Guy,29.3,-95.79,334.0,708.0
Hockley,30.1,-95.8,5637.0,15246.0
Katy,29.83,-95.73,55777.0,119204.0
Katy,29.74,-95.74,29840.0,74631.0
Missouri City,29.53,-95.52,25085.0,66175.0
Needville,29.4,-95.8,4187.0,10752.0
Richmond,29.5,-95.7,20091.0,46934.0
Rosenberg,29.5,-95.9,16140.0,38837.0
Stafford,29.63,-95.56,17741.0,36932.0
Sugar Land,29.62,-95.61,8708.0,25846.0
Sugar Land,29.56,-95.64,32521.0,88603.0
Waller,30.1,-95.9,3736.0,10710.0
Missouri City,29.61,-95.51,14884.0,36786.0
Katy,29.85,-95.84,12476.0,29984.0
Katy,29.74,-95.84,44508.0,105854.0
Sugar Land,29.64,-95.65,21591.0,51037.0
Pasadena,29.68,-95.2,16671.0,39040.0
Pasadena,29.71,-95.16,11426.0,26171.0
Pasadena,29.65,-95.19,9558.0,23327.0
Pasadena,29.65,-95.14,10096.0,24230.0
Pasadena,29.71,-95.21,16306.0,37736.0
Baytown,29.75,-95.0,14606.0,36694.0
Baytown,29.82,-94.97,24919.0,57125.0
Channelview,29.78,-95.11,13523.0,31119.0
Crosby,29.9,-95.0,11739.0,28320.0
Deer Park,29.71,-95.12,12892.0,32392.0
Fresno,29.54,-95.47,11866.0,25036.0
Galena Park,29.74,-95.23,4507.0,10077.0
Highlands,29.83,-95.05,4056.0,10665.0
La Porte,29.69,-95.04,14959.0,37374.0
Seabrook,29.58,-95.03,8547.0,22182.0
South Houston,29.66,-95.23,7195.0,16901.0
Webster,29.55,-95.14,13305.0,24689.0
Atascosa,29.28,-98.74,3325.0,7904.0
Helotes,29.6,-98.8,11649.0,29872.0
Somerset,29.19,-98.68,2200.0,5874.0
Von Ormy,29.24,-98.63,3476.0,9269.0
Adkins,29.35,-98.24,2698.0,6911.0
Converse,29.48,-98.28,18132.0,40093.0
Elmendorf,29.2,-98.4,3297.0,8129.0
Universal City,29.55,-98.3,8860.0,21456.0
Jbsa Randolph,29.53,-98.28,20.0,20.0
Saint Hedwig,29.42,-98.2,764.0,2155.0
San Antonio,29.48,-98.53,19141.0,47500.0
San Antonio,29.43,-98.46,5049.0,12178.0
San Antonio,29.41,-98.46,2749.0,6456.0
San Antonio,29.41,-98.51,5420.0,12454.0
