Zip Code,City,County,Type
75320,Dallas,Dallas,Unique
75326,Dallas,Dallas,Unique
75336,Dallas,Dallas,P.O. Box
75339,Dallas,Dallas,P.O. Box
75342,Dallas,Dallas,Standard
75354,Dallas,Dallas,P.O. Box
75355,Dallas,Dallas,P.O. Box
75356,Dallas,Dallas,P.O. Box
75357,Dallas,Dallas,P.O. Box
75358,Dallas,Dallas,Unique
75359,Dallas,Dallas,P.O. Box
75360,Dallas,Dallas,P.O. Box
75367,Dallas,Dallas,P.O. Box
75368,Dallas,Dallas,Unique
75370,Dallas,Dallas,P.O. Box
75371,Dallas,Dallas,P.O. Box
75372,Dallas,Dallas,P.O. Box
75373,Dallas,Dallas,Unique
75374,Dallas,Dallas,P.O. Box
75376,Dallas,Dallas,P.O. Box
75378,Dallas,Dallas,P.O. Box
75379,Dallas,Dallas,P.O. Box
75380,Dallas,Dallas,P.O. Box
75381,Dallas,Dallas,P.O. Box
75382,Dallas,Dallas,P.O. Box
75389,Dallas,Dallas,Unique
75390,Dallas,Dallas,Unique
75391,Dallas,Dallas,Unique
75392,Dallas,Dallas,Unique
75393,Dallas,Dallas,Unique
75394,Dallas,Dallas,Unique
75395,Dallas,Dallas,Unique
75397,Dallas,Dallas,Unique
75398,Dallas,Dallas,Standard
75401,Greenville,Hunt,Standard
75402,Greenville,Hunt,Standard
75403,Greenville,Hunt,P.O. Box
75404,Greenville,Hunt,P.O. Box
75407,Princeton,Collin,Standard
75409,Anna,Collin,Standard
75410,Alba,Wood,Standard
75411,Arthur City,Lamar,Standard
75412,Bagwell,Red River,Standard
75413,Bailey,Fannin,P.O. Box
75414,Bells,Grayson,Standard
75415,Ben Franklin,Delta,Standard
75416,Blossom,Lamar,Standard
75417,Bogata,Red River,Standard
75418,Bonham,Fannin,Standard
75420,Brashear,Hopkins,Standard
75421,Brookston,Lamar,Standard
75422,Campbell,Hunt,Standard
75423,Celeste,Hunt,Standard
75424,Blue Ridge,Collin,Standard
75425,Chicota,Lamar,P.O. Box
75426,Clarksville,Red River,Standard
75428,Commerce,Hunt,Standard
75429,Commerce,Hunt,P.O. Box
75431,Como,Hopkins,Standard
75432,Cooper,Delta,Standard
75433,Cumby,Hopkins,Standard
75434,Cunningham,Lamar,P.O. Box
75435,Deport,Lamar,Standard
75436,Detroit,Red River,Standard
75437,Dike,Hopkins,Standard
75438,Dodd City,Fannin,Standard
75439,Ector,Fannin,Standard
75440,Emory,Rains,Standard
75441,Enloe,Delta,P.O. Box
75442,Farmersville,Collin,Standard
75443,Gober,Fannin,P.O. Box
75444,Golden,Wood,P.O. Box
75446,Honey Grove,Fannin,Standard
75447,Ivanhoe,Fannin,Standard
75448,Klondike,Delta,Standard
75449,Ladonia,Fannin,Standard
75450,Lake Creek,Delta,Standard
75451,Leesburg,Camp,Standard
75452,Leonard,Fannin,Standard
75453,Lone Oak,Hunt,Standard
75454,Melissa,Collin,Standard
75455,Mount Pleasant,Titus,Standard
75456,Mount Pleasant,Titus,P.O. Box
75457,Mount Vernon,Franklin,Standard
75458,Merit,Hunt,P.O. Box
75459,Howe,Grayson,Standard
75460,Paris,Lamar,Standard
75461,Paris,Lamar,P.O. Box
75462,Paris,Lamar,Standard
75468,Pattonville,Lamar,Standard
75469,Pecan Gap,Delta,Standard
75470,Petty,Lamar,Standard
75471,Pickton,Hopkins,Standard
75472,Point,Rains,Standard
75473,Powderly,Lamar,Standard
75474,Quinlan,Hunt,Standard
75475,Randolph,Fannin,P.O. Box
75476,Ravenna,Fannin,Standard
75477,Roxton,Lamar,Standard
75478,Saltillo,Hopkins,Standard
75479,Savoy,Fannin,Standard
75480,Scroggins,Franklin,Standard
75481,Sulphur Bluff,Hopkins,Standard
75482,Sulphur Springs,Hopkins,Standard
75483,Sulphur Springs,Hopkins,P.O. Box
75485,Westminster,Collin,P.O. Box
75486,Sumner,Lamar,Standard
75487,Talco,Franklin,Standard
75488,Telephone,Fannin,Standard
75489,Tom Bean,Grayson,P.O. Box
75490,Trenton,Fannin,Standard
75491,Whitewright,Grayson,Standard
75492,Windom,Fannin,Standard
75493,Winfield,Titus,P.O. Box
75494,Winnsboro,Wood,Standard
75495,Van Alstyne,Grayson,Standard
75496,Wolfe City,Hunt,Standard
75497,Yantis,Wood,Standard
75501,Texarkana,Bowie,Standard
75503,Texarkana,Bowie,Standard
75504,Texarkana,Bowie,P.O. Box
75505,Texarkana,Bowie,P.O. Box
75507,Texarkana,Bowie,Unique
75550,Annona,Red River,Standard
75551,Atlanta,Cass,Standard
75554,Avery,Red River,Standard
75555,Bivins,Cass,Standard
75556,Bloomburg,Cass,Standard
75558,Cookville,Titus,Standard
75559,De Kalb,Bowie,Standard
75560,Douglassville,Cass,Standard
75561,Hooks,Bowie,Standard
75562,Kildare,Cass,P.O. Box
75563,Linden,Cass,Standard
75564,Lodi,Marion,P.O. Box
75565,Mc Leod,Cass,P.O. Box
75566,Marietta,Cass,Standard
75567,Maud,Bowie,Standard
75568,Naples,Morris,Standard
75569,Nash,Bowie,Standard
75570,New Boston,Bowie,Standard
75571,Omaha,Morris,Standard
75572,Queen City,Cass,Standard
75573,Redwater,Bowie,P.O. Box
75574,Simms,Bowie,Standard
75599,Texarkana,Bowie,Unique
75601,Longview,Gregg,Standard
75602,Longview,Gregg,Standard
75603,Longview,Gregg,Standard
75604,Longview,Gregg,Standard
75605,Longview,Gregg,Standard
75606,Longview,Gregg,P.O. Box
75607,Longview,Gregg,P.O. Box
75608,Longview,Gregg,P.O. Box
75615,Longview,Gregg,P.O. Box
75630,Avinger,Cass,Standard
75631,Beckville,Panola,Standard
75633,Carthage,Panola,Standard
75636,Cason,Morris,P.O. Box
75637,Clayton,Panola,P.O. Box
75638,Daingerfield,Morris,Standard
75639,De Berry,Panola,Standard
75640,Diana,Upshur,Standard
75641,Easton,Gregg,P.O. Box
75642,Elysian Fields,Harrison,P.O. Box
75643,Gary,Panola,Standard
75644,Gilmer,Upshur,Standard
75645,Gilmer,Upshur,Standard
75647,Gladewater,Gregg,Standard
75650,Hallsville,Harrison,Standard
75651,Harleton,Harrison,Standard
75652,Henderson,Rusk,Standard
75653,Henderson,Rusk,P.O. Box
75654,Henderson,Rusk,Standard
75656,Hughes Springs,Cass,Standard
75657,Jefferson,Marion,Standard
75658,Joinerville,Rusk,P.O. Box
75659,Jonesville,Harrison,P.O. Box
75660,Judson,Gregg,P.O. Box
75661,Karnack,Harrison,Standard
75662,Kilgore,Gregg,Standard
75663,Kilgore,Gregg,P.O. Box
75666,Laird Hill,Rusk,P.O. Box
75667,Laneville,Rusk,Standard
