Median Age,Population,Household Income,Per Capita Income,Name,Zip_Codes
43.9,1759.0,106146.0,41962.0,ZCTA5 01342,1342
59.5,46.0,85781.0,38683.0,ZCTA5 01343,1343
41.9,1518.0,70109.0,28889.0,ZCTA5 01344,1344
49.1,464.0,60208.0,34662.0,ZCTA5 01346,1346
46.0,126.0,52647.0,27629.0,ZCTA5 01347,1347
37.7,1231.0,61630.0,26995.0,ZCTA5 01349,1349
54.7,86.0,31458.0,27507.0,ZCTA5 01350,1350
46.9,2209.0,82548.0,40829.0,ZCTA5 01351,1351
47.6,1604.0,69226.0,38346.0,ZCTA5 01354,1354
50.8,917.0,70313.0,36789.0,ZCTA5 01355,1355
46.0,3012.0,69028.0,33657.0,ZCTA5 01360,1360
45.4,7819.0,43413.0,23103.0,ZCTA5 01364,1364
51.0,1218.0,65529.0,35783.0,ZCTA5 01366,1366
44.4,605.0,55469.0,28197.0,ZCTA5 01367,1367
51.1,1316.0,72813.0,32809.0,ZCTA5 01368,1368
51.3,4032.0,54036.0,37400.0,ZCTA5 01370,1370
49.5,4160.0,74022.0,38682.0,ZCTA5 01373,1373
31.3,3662.0,54886.0,36664.0,ZCTA5 01375,1375
44.1,5096.0,43750.0,25887.0,ZCTA5 01376,1376
55.7,744.0,57885.0,30777.0,ZCTA5 01378,1378
51.2,836.0,43500.0,28998.0,ZCTA5 01379,1379
35.4,40666.0,51412.0,24887.0,ZCTA5 01420,1420
41.1,6210.0,85064.0,33886.0,ZCTA5 01430,1430
45.9,3195.0,95833.0,36900.0,ZCTA5 01431,1431
39.1,7703.0,79750.0,42774.0,ZCTA5 01432,1432
43.4,1712.0,50547.0,17126.0,ZCTA5 01434,1434
43.3,3460.0,60156.0,31607.0,ZCTA5 01436,1436
60.1,563.0,74142.0,36265.0,ZCTA5 01438,1438
40.6,20496.0,48915.0,25866.0,ZCTA5 01440,1440
45.6,11282.0,123918.0,53410.0,ZCTA5 01450,1450
47.2,4630.0,143625.0,60666.0,ZCTA5 01451,1451
45.7,4581.0,93387.0,38657.0,ZCTA5 01452,1452
40.2,41446.0,57610.0,30775.0,ZCTA5 01453,1453
44.4,9754.0,119177.0,49934.0,ZCTA5 01460,1460
44.1,11150.0,97775.0,41737.0,ZCTA5 01462,1462
42.9,12049.0,90029.0,40919.0,ZCTA5 01463,1463
42.3,7572.0,67541.0,31903.0,ZCTA5 01464,1464
51.4,511.0,98036.0,42565.0,ZCTA5 01467,1467
47.2,4124.0,64872.0,38444.0,ZCTA5 01468,1468
39.2,7454.0,84489.0,39302.0,ZCTA5 01469,1469
44.7,7566.0,100071.0,43218.0,ZCTA5 01473,1473
44.5,1964.0,84851.0,47724.0,ZCTA5 01474,1474
41.3,10738.0,64539.0,29400.0,ZCTA5 01475,1475
46.8,16412.0,74576.0,38476.0,ZCTA5 01501,1501
47.6,3098.0,97417.0,48547.0,ZCTA5 01503,1503
41.6,9201.0,80260.0,35249.0,ZCTA5 01504,1504
42.7,4524.0,97074.0,46148.0,ZCTA5 01505,1505
44.9,3406.0,64219.0,37864.0,ZCTA5 01506,1506
43.1,13379.0,93921.0,39167.0,ZCTA5 01507,1507
38.9,13855.0,68362.0,33410.0,ZCTA5 01510,1510
42.2,2123.0,80234.0,36927.0,ZCTA5 01515,1515
41.7,8745.0,94531.0,37825.0,ZCTA5 01516,1516
42.6,3490.0,58438.0,39866.0,ZCTA5 01518,1518
43.5,6657.0,106250.0,49307.0,ZCTA5 01519,1519
41.8,15061.0,99674.0,43270.0,ZCTA5 01520,1520
43.7,2510.0,78348.0,34752.0,ZCTA5 01521,1521
41.2,3497.0,104508.0,44718.0,ZCTA5 01522,1522
38.4,7735.0,104630.0,35322.0,ZCTA5 01523,1523
45.4,6702.0,64135.0,34311.0,ZCTA5 01524,1524
36.5,227.0,-666666666.0,25773.0,ZCTA5 01525,1525
43.2,13521.0,74713.0,37951.0,ZCTA5 01527,1527
41.8,3237.0,90500.0,37644.0,ZCTA5 01529,1529
46.8,1247.0,84432.0,37371.0,ZCTA5 01531,1531
43.7,14918.0,111875.0,52500.0,ZCTA5 01532,1532
44.3,6262.0,89348.0,40700.0,ZCTA5 01534,1534
44.4,4760.0,73133.0,31764.0,ZCTA5 01535,1535
39.5,7709.0,105283.0,44374.0,ZCTA5 01536,1536
33.1,2337.0,74883.0,28911.0,ZCTA5 01537,1537
39.7,11386.0,68865.0,31306.0,ZCTA5 01540,1540
48.4,3438.0,128006.0,59891.0,ZCTA5 01541,1541
48.2,2299.0,100000.0,39122.0,ZCTA5 01542,1542
40.2,8463.0,100962.0,37904.0,ZCTA5 01543,1543
41.7,36269.0,101229.0,45803.0,ZCTA5 01545,1545
40.1,16858.0,50202.0,25977.0,ZCTA5 01550,1550
38.1,4477.0,85390.0,45027.0,ZCTA5 01560,1560
59.6,243.0,-666666666.0,32123.0,ZCTA5 01561,1561
45.1,11856.0,65386.0,31155.0,ZCTA5 01562,1562
44.7,8000.0,102500.0,43640.0,ZCTA5 01564,1564
42.0,6006.0,95800.0,44937.0,ZCTA5 01566,1566
42.0,7706.0,119115.0,48540.0,ZCTA5 01568,1568
40.3,13864.0,94809.0,35943.0,ZCTA5 01569,1569
41.0,16926.0,52107.0,28964.0,ZCTA5 01570,1570
37.9,11637.0,64281.0,30057.0,ZCTA5 01571,1571
38.0,18836.0,107604.0,47993.0,ZCTA5 01581,1581
39.4,7639.0,73463.0,28418.0,ZCTA5 01583,1583
46.7,4661.0,66317.0,35345.0,ZCTA5 01585,1585
38.1,9864.0,66607.0,32926.0,ZCTA5 01588,1588
44.8,9297.0,101315.0,43451.0,ZCTA5 01590,1590
40.5,24166.0,64808.0,34720.0,ZCTA5 01602,1602
37.0,19981.0,42259.0,24635.0,ZCTA5 01603,1603
34.0,36772.0,50487.0,26882.0,ZCTA5 01604,1604
31.7,28742.0,37703.0,21513.0,ZCTA5 01605,1605
41.9,19375.0,65135.0,34908.0,ZCTA5 01606,1606
36.2,8698.0,43500.0,24723.0,ZCTA5 01607,1607
27.6,3371.0,20578.0,14469.0,ZCTA5 01608,1608
30.5,20714.0,42903.0,29357.0,ZCTA5 01609,1609
27.8,23438.0,31003.0,16262.0,ZCTA5 01610,1610
40.6,2451.0,81830.0,35915.0,ZCTA5 01611,1611
41.2,4845.0,95595.0,40615.0,ZCTA5 01612,1612
45.5,32098.0,105940.0,49590.0,ZCTA5 01701,1701
34.4,39226.0,52746.0,29266.0,ZCTA5 01702,1702
41.1,716.0,160750.0,54472.0,ZCTA5 01718,1718
43.5,5546.0,101077.0,55857.0,ZCTA5 01719,1719
43.7,22680.0,133075.0,59129.0,ZCTA5 01720,1720
41.7,17478.0,120309.0,52647.0,ZCTA5 01721,1721
43.4,14031.0,125208.0,57969.0,ZCTA5 01730,1730
23.0,2012.0,93276.0,27220.0,ZCTA5 01731,1731
42.7,5167.0,151618.0,54618.0,ZCTA5 01740,1740
50.0,5160.0,170703.0,87286.0,ZCTA5 01741,1741
46.6,19383.0,137547.0,68083.0,ZCTA5 01742,1742
35.0,501.0,123992.0,41878.0,ZCTA5 01745,1745
42.2,14480.0,118933.0,53435.0,ZCTA5 01746,1746
44.4,5955.0,101761.0,40122.0,ZCTA5 01747,1747
40.8,16720.0,151357.0,60222.0,ZCTA5 01748,1748
43.7,19843.0,83765.0,39716.0,ZCTA5 01749,1749
39.5,39771.0,75418.0,38866.0,ZCTA5 01752,1752
43.6,10560.0,95833.0,46986.0,ZCTA5 01754,1754
44.8,5995.0,125816.0,50536.0,ZCTA5 01756,1756
39.7,28694.0,75976.0,36016.0,ZCTA5 01757,1757
40.4,35715.0,106332.0,54666.0,ZCTA5 01760,1760
45.0,4302.0,170872.0,75852.0,ZCTA5 01770,1770
43.2,9520.0,143375.0,64905.0,ZCTA5 01772,1772
53.7,4791.0,153500.0,103262.0,ZCTA5 01773,1773
44.1,7061.0,144766.0,58780.0,ZCTA5 01775,1775
44.1,18697.0,170945.0,75430.0,ZCTA5 01776,1776
44.5,13850.0,166548.0,78360.0,ZCTA5 01778,1778
40.0,40375.0,84857.0,39344.0,ZCTA5 01801,1801
42.2,26103.0,99254.0,45962.0,ZCTA5 01803,1803
42.3,35375.0,143292.0,63468.0,ZCTA5 01810,1810
40.7,32348.0,99881.0,39431.0,ZCTA5 01821,1821
44.5,25961.0,115533.0,51331.0,ZCTA5 01824,1824
40.1,30948.0,86644.0,36352.0,ZCTA5 01826,1826
45.5,3337.0,138700.0,57005.0,ZCTA5 01827,1827
39.0,26524.0,61375.0,31807.0,ZCTA5 01830,1830
36.8,23372.0,64238.0,32479.0,ZCTA5 01832,1832
46.0,8569.0,113417.0,48049.0,ZCTA5 01833,1833
44.6,6697.0,95031.0,38724.0,ZCTA5 01834,1834
38.9,13047.0,77697.0,35786.0,ZCTA5 01835,1835
33.8,5248.0,20596.0,18543.0,ZCTA5 01840,1840
31.3,48295.0,38199.0,16430.0,ZCTA5 01841,1841
31.1,25942.0,46629.0,21004.0,ZCTA5 01843,1843
39.1,49587.0,73525.0,32504.0,ZCTA5 01844,1844
39.9,30170.0,105661.0,51658.0,ZCTA5 01845,1845
29.4,16890.0,46102.0,19486.0,ZCTA5 01850,1850
34.3,29849.0,52008.0,24920.0,ZCTA5 01851,1851
36.9,34756.0,50911.0,28059.0,ZCTA5 01852,1852
30.0,29561.0,40982.0,20041.0,ZCTA5 01854,1854
46.9,6752.0,84417.0,42351.0,ZCTA5 01860,1860
40.6,10676.0,93494.0,35060.0,ZCTA5 01862,1862
44.2,9106.0,77055.0,44528.0,ZCTA5 01863,1863
44.3,15598.0,124750.0,52597.0,ZCTA5 01864,1864
42.5,24894.0,113553.0,51120.0,ZCTA5 01867,1867
44.4,30433.0,94817.0,41265.0,ZCTA5 01876,1876
